127.0.0.1 - - [29/Jul/2016:09:32:02 +0900] "GET / HTTP/1.1" 404 976
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:32:08 +0900] "GET /LearnJapanese/ HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:32:08 +0900] "GET /LearnJapanese/css/Menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:32:08 +0900] "GET /LearnJapanese/js/Menu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:32:10 +0900] "GET /LearnJapanese/css/picture/kotoba.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:32:10 +0900] "GET /LearnJapanese/css/picture/menupicture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:32:10 +0900] "GET /LearnJapanese/css/picture/kanji.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:32:10 +0900] "GET /LearnJapanese/css/picture/choukai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:32:10 +0900] "GET /LearnJapanese/css/picture/bunpo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:32:11 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:35:10 +0900] "GET /LearnJapanese HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:35:10 +0900] "GET /LearnJapanese/ HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:35:10 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:35:10 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:35:13 +0900] "GET /LearnJapanese/Bunpo.jsp HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:35:13 +0900] "GET /LearnJapanese/css/Bunpo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:35:13 +0900] "GET /LearnJapanese/js/Bunpo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:35:14 +0900] "POST /LearnJapanese/BunpoController HTTP/1.1" 200 7180
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:35:16 +0900] "GET /LearnJapanese/Menu.jsp HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:35:16 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:35:18 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 2555
0:0:0:0:0:0:0:1 - - [29/Jul/2016:09:35:18 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 304 -
